"year","state","stateabb","poverty","binge_all","binge_female","binge_male"
2010,"Alabama","AL","19",NA,NA,NA
2010,"Alaska","AK","9.9",NA,NA,NA
2010,"Arizona","AZ","17.4",NA,NA,NA
2010,"Arkansas","AR","18.8",NA,NA,NA
2010,"California","CA","15.8",NA,NA,NA
2010,"Colorado","CO","13.4",NA,NA,NA
2010,"Connecticut","CT","10.1",NA,NA,NA
2010,"Delaware","DE","11.8",NA,NA,NA
2010,"District of Columbia","DC","19.2",NA,NA,NA
2010,"Florida","FL","16.5",NA,NA,NA
2010,"Georgia","GA","17.9",NA,NA,NA
2010,"Hawaii","HI","10.7",NA,NA,NA
2010,"Idaho","ID","15.7",NA,NA,NA
2010,"Illinois","IL","13.8",NA,NA,NA
2010,"Indiana","IN","15.3",NA,NA,NA
2010,"Iowa","IA","12.6",NA,NA,NA
2010,"Kansas","KS","13.6",NA,NA,NA
2010,"Kentucky","KY","19",NA,NA,NA
2010,"Louisiana","LA","18.7",NA,NA,NA
2010,"Maine","ME","12.9",NA,NA,NA
2010,"Maryland","MD","9.9",NA,NA,NA
2010,"Massachusetts","MA","11.4",NA,NA,NA
2010,"Michigan","MI","16.8",NA,NA,NA
2010,"Minnesota","MN","11.6",NA,NA,NA
2010,"Mississippi","MS","22.4",NA,NA,NA
2010,"Missouri","MO","15.3",NA,NA,NA
2010,"Montana","MT","14.6",NA,NA,NA
2010,"Nebraska","NE","12.9",NA,NA,NA
2010,"Nevada","NV","14.9",NA,NA,NA
2010,"New Hampshire","NH","8.3",NA,NA,NA
2010,"New Jersey","NJ","10.3",NA,NA,NA
2010,"New Mexico","NM","20.4",NA,NA,NA
2010,"New York","NY","14.9",NA,NA,NA
2010,"North Carolina","NC","17.5",NA,NA,NA
2010,"North Dakota","ND","13",NA,NA,NA
2010,"Ohio","OH","15.8",NA,NA,NA
2010,"Oklahoma","OK","16.9",NA,NA,NA
2010,"Oregon","OR","15.8",NA,NA,NA
2010,"Pennsylvania","PA","13.4",NA,NA,NA
2010,"Puerto Rico","PR","45",NA,NA,NA
2010,"Rhode Island","RI","14",NA,NA,NA
2010,"South Carolina","SC","18.2",NA,NA,NA
2010,"South Dakota","SD","14.4",NA,NA,NA
2010,"Tennessee","TN","17.7",NA,NA,NA
2010,"Texas","TX","17.9",NA,NA,NA
2010,"United States","US","15.3",NA,NA,NA
2010,"Utah","UT","13.2",NA,NA,NA
2010,"Vermont","VT","12.7",NA,NA,NA
2010,"Virginia","VA","11.1",NA,NA,NA
2010,"Washington","WA","13.4",NA,NA,NA
2010,"West Virginia","WV","18.1",NA,NA,NA
2010,"Wisconsin","WI","13.2",NA,NA,NA
2010,"Wyoming","WY","11.2",NA,NA,NA
2011,"Alabama","AL","19","13.7","7.9","20.2"
2011,"Alaska","AK","10.5","20.8","15.6","26"
2011,"Arizona","AZ","19","17.6","11.7","23.6"
2011,"Arkansas","AR","19.5","14.1","9.2","19.2"
2011,"California","CA","16.6","18.6","12.1","25.2"
2011,"Colorado","CO","13.5","20.1","14","26.3"
2011,"Connecticut","CT","10.9","17.9","11.9","24.4"
2011,"Delaware","DE","11.9","20.3","13.9","27.2"
2011,"District of Columbia","DC","18.7","25","19.5","31.3"
2011,"Florida","FL","17","17.1","12","22.6"
